id	name	SMILES
1	CNP0174048.0	CCCC(=O)NCC1=CC=C(O)C(OC)=C1
2	CNP0190516.0	CCCCCCCC(=O)NCC1=CC=CC=C1
3	CNP0550815.0	CCCC(C)C(=O)NCC1=CC=C(OC)C=C1
4	CNP0550815.1	CCC[C@@H](C)C(=O)NCC1=CC=C(OC)C=C1
5	CNP0550815.2	CCC[C@H](C)C(=O)NCC1=CC=C(OC)C=C1
6	CNP0555340.0	CCOCCC(=O)NCC1=CC=C(OC)C=C1
7	CNP0001306.0	CCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
8	CNP0001224.0	CCCCCCCC(=O)NCC1=CC=CC(OC)=C1
9	CNP0379856.0	COC1=CC(CNC(=O)CCC=CC(C)C)=CC=C1O
10	CNP0169144.0	CCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
